Timestamp start: 1684486395589
Timestamp end: 1684487236005

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      389.5   938.3    86.8   129.1   143.2   288.3   361.2   407.2   439.8   474.2   515.9   586.0  3218.9 11694.4 32301.0  15335.4    15247
read      291.3   339.6    80.4   129.9   143.7   250.7   308.8   342.7   369.0   401.4   445.0   511.2   923.0  3541.7 10958.0  90394.4    90717
read      287.0   312.4    80.4   129.5   143.1   248.5   306.5   340.6   366.7   398.1   439.0   501.3   698.1  3981.7  9364.2  97353.6    97293
read      409.0   916.8    86.8   127.6   140.5   253.1   365.8   452.0   552.0   652.5   741.4   861.0  2451.2 11922.6 32073.1  34723.6    34742
read      294.7   381.3    80.4   129.4   142.7   250.0   306.1   340.1   367.5   402.3   449.2   513.5  1165.9  4166.3 11077.9  65978.8    66029
read      285.3   321.2    80.4   128.6   141.7   246.4   303.7   339.1   367.9   402.5   446.6   504.4   798.8  3496.9  9573.4  54948.4    54849
read      290.3   255.4    74.4   131.0   144.8   256.7   316.0   351.1   378.2   411.6   454.1   514.0   692.4  3128.2  5921.9  73932.0    73998
read      318.5   454.7    80.4   129.1   142.5   249.0   325.4   372.8   405.9   445.2   497.8   665.9  1051.5  5551.1 17683.8  35362.8    35373
read      430.2   951.4    86.8   129.3   143.2   282.5   400.8   495.5   571.8   641.4   714.9   819.1  3047.1  9981.3 32308.3  27349.8    27389
read      305.9   342.7    80.4   132.3   146.9   259.6   320.3   357.5   386.1   421.8   467.6   542.4  1293.0  3554.4 11411.7  79367.0    79316
read      402.6   938.8    86.8   127.7   141.1   286.8   373.2   436.5   485.0   535.3   588.7   673.8  3438.4 10456.4 31941.6  21608.0    21593
read      298.3   373.7    80.4   130.3   143.8   250.2   311.0   349.0   379.8   417.1   461.6   531.1  1010.4  3939.0 10979.5  49948.4    50060
read      283.2   310.4    80.4   128.9   142.0   246.7   301.0   335.8   363.9   398.9   442.5   499.0   723.5  3825.3  9735.8  57447.4    57418
read      361.5   740.6    86.8   130.7   144.1   284.0   352.6   392.8   425.3   468.1   528.2   621.2  2133.1 10484.8 32400.0  19031.0    19091
read      297.7   350.2    80.4   130.6   144.3   252.0   310.1   344.4   371.2   404.4   449.6   519.1  1253.5  4254.4  9942.7  81977.0    81917
read      406.7   887.6    86.8   128.4   141.4   267.5   374.3   452.8   536.2   617.2   695.5   799.7  2622.6 10304.8 36008.7  29322.0    29281
read      293.6   342.3    80.4   128.9   142.2   250.9   306.1   339.8   367.2   401.2   446.0   510.5  1093.9  4366.8  9812.8  64432.4    64378
read      288.5   300.7    80.4   128.9   142.6   253.6   312.2   347.7   376.7   412.0   455.4   513.0   729.6  2519.6 14536.1  53595.4    53555
read      276.8   266.3    80.4   128.7   142.1   245.2   300.6   332.2   356.5   386.6   425.8   482.8   638.3  3154.1 10403.7  89141.8    89199
read      285.8   233.0    80.4   128.4   141.8   252.8   310.1   344.2   371.9   405.6   449.1   506.0   760.0  3055.4  7578.7  58593.6    58449
read      289.1   306.4    80.4   128.6   142.1   253.2   311.6   346.2   374.3   408.8   452.5   510.9   802.7  2654.5 11776.7  56823.6    56791
read      282.5   354.0    80.4   127.7   140.2   238.7   305.0   346.1   376.4   409.6   447.1   497.7   740.0  4160.6 15446.2  37469.6    37273
read      296.0   384.0    80.4   129.7   143.3   251.3   315.9   356.0   386.7   422.3   463.8   523.6   885.1  3246.6 19118.5  42886.2    42924
read      452.9  1615.0    93.8   144.6   164.5   287.0   338.7   368.9   389.9   414.0   447.0   517.6  4377.3 31455.5 37874.1   8973.0     8913
read      432.1   888.0    86.8   134.0   148.5   278.9   388.3   469.2   563.2   665.8   765.6   896.2  2807.9 11128.5 32029.0  31100.4    31030
read      305.1   351.7    80.4   133.2   147.9   258.5   319.4   356.1   384.1   419.3   464.6   540.0  1285.0  3882.7  9614.1  90918.4    91023
read      435.4  1279.7    86.8   131.1   145.0   294.9   376.2   433.6   476.6   524.1   578.9   663.6  3742.8 19146.1 39684.1  19089.0    19180
read      300.4   393.0    80.4   131.0   144.8   253.8   310.5   345.0   373.5   410.5   457.9   527.6  1139.5  5164.0 12552.9  59450.4    59514
read      384.8   994.0    86.8   139.0   157.0   283.1   343.1   378.4   403.3   432.7   468.1   534.8  3517.0 12218.1 32248.6  10804.4    10843
read      295.9   340.9    80.4   131.5   145.6   253.0   311.2   344.8   371.4   403.9   449.4   520.1  1132.4  4066.2  8738.4  85095.6    85259
read      295.8   271.5    86.8   132.3   146.5   253.8   317.9   359.2   391.1   427.5   468.5   529.7   833.0  3100.0  8134.5  44170.2    44091
read      284.9   196.0    80.4   128.3   141.9   250.8   309.3   344.9   373.6   409.4   453.4   510.3   834.0  2291.8  5672.9  52384.4    52438
read      427.4  1244.8    86.8   129.8   143.8   293.9   372.0   426.0   463.1   503.8   554.7   635.3  3724.9 18936.5 41060.1  17728.6    17637
read      285.6   281.7    80.4   129.5   143.1   248.7   303.5   336.0   361.1   392.6   434.7   495.9  1006.2  3151.3 10327.6  75452.6    75299
read      286.2   261.8    80.4   128.7   142.1   248.2   305.9   342.2   371.5   407.0   450.7   506.0   785.1  3679.8  7648.4  51164.8    51160
read      404.6  1188.5    93.8   136.4   153.5   289.6   354.4   392.5   418.1   446.4   481.7   546.3  3147.3 16113.6 36210.9  11823.6    11742
read      289.9   340.5    80.4   130.5   144.1   248.7   303.8   336.0   361.2   393.0   435.5   501.2  1077.3  3918.3 10059.4  80396.6    80490
read      280.9   232.5    80.4   130.2   143.8   249.2   303.8   335.7   360.7   391.7   432.5   494.2   692.0  2754.9  6874.0  88861.8    88799
read      280.6   288.1    80.4   128.8   142.0   247.9   301.8   334.1   360.1   392.6   433.9   493.0   676.6  3044.2  8704.5  67491.0    67527
read      294.7   405.2    80.4   130.3   144.3   253.4   310.8   344.6   371.4   404.8   450.0   508.8   824.1  4437.3 13735.9  63840.8    63805
read      400.9   981.8    86.8   129.8   143.3   292.8   374.3   430.9   470.6   511.9   564.4   641.5  3309.9 10486.1 36357.4  17979.2    17948
read      287.6   320.7    80.4   129.0   142.3   249.4   303.7   335.9   361.7   394.4   438.7   502.7  1081.0  3045.2  9119.6  69697.4    69484
read      281.0   231.3    80.4   129.4   142.8   250.1   304.6   336.2   361.0   392.4   434.3   494.5   691.0  2982.0  7572.8  71029.6    70735
read      380.9  1196.9    86.8   148.3   168.0   261.2   301.0   323.8   340.2   360.9   389.0   441.0  3528.8 24566.9 36745.8   6778.2     6709
read      296.8   380.9    80.4   129.8   143.5   247.2   305.5   342.9   373.3   410.9   457.1   529.7  1094.6  4563.4 14321.9  52663.6    52655
read      283.8   274.1    80.4   129.2   142.6   250.9   308.0   341.0   366.9   398.8   441.3   499.7   693.1  3033.7  8242.2  67567.0    67400
read      401.3  1098.3    86.8   130.2   144.3   288.5   363.9   412.1   446.1   483.0   528.4   599.5  3276.5 13692.4 37611.6  15848.4    15954
read      296.1   365.1    80.4   131.4   145.4   252.3   309.6   342.9   369.6   402.2   446.4   513.4  1131.6  3873.7 12154.3  85880.4    85996
read      291.6   365.7    80.4   132.4   146.5   253.1   310.7   343.6   369.5   400.8   443.1   506.1   753.7  3463.6 10850.0  83416.8    83463
read      285.8   272.9    80.4   132.5   146.6   252.6   306.6   338.7   364.1   396.1   438.2   497.4   686.0  3201.4  8668.6  71121.2    71188
read      421.1  1036.8    80.4   131.0   144.8   287.0   389.4   465.1   532.9   598.7   669.2   770.8  2865.3 13627.5 35177.9  25631.6    25675
read      288.3   360.6    80.4   130.2   143.9   250.2   303.9   335.4   360.6   392.7   435.1   498.0  1008.5  4046.7 10847.7  71594.0    71679
read      402.6   839.3    86.8   131.7   145.6   295.2   387.9   454.0   505.4   561.3   622.7   712.7  2849.2  9260.2 31680.2  20918.2    20853
read      298.1   284.7    80.4   131.4   145.8   260.5   319.7   355.7   383.9   418.8   462.7   529.2  1022.6  3150.0  9639.2  61175.0    61035
read      381.8  1039.4    93.8   136.7   153.5   279.8   339.0   374.1   398.0   425.4   460.4   526.1  3437.0 10486.2 32485.4  11031.4    11012
read      294.0   353.1    80.4   128.3   141.4   249.3   304.3   337.2   363.9   397.2   443.9   510.5  1242.7  4487.3 11030.4  66925.4    66986
read      292.7   317.8    80.4   130.9   144.8   254.1   312.7   346.4   373.3   405.4   448.7   509.8   787.7  3720.9  9838.8  86907.6    86907
read      418.3  1396.5    93.8   143.2   162.0   272.7   323.1   352.0   372.4   396.3   428.2   492.0  3939.1 29897.2 32497.3   8873.4     8946
read      426.5   995.3    86.8   130.7   144.3   289.6   392.4   474.6   538.2   597.0   665.2   762.5  3342.4 13061.9 35566.5  23806.2    23855
read      303.2   365.6    86.8   133.3   147.8   257.5   315.2   349.3   376.6   411.6   458.7   533.6  1252.7  3773.2 10160.2  70948.8    71095
read      293.9   325.7    86.8   132.9   147.1   257.1   315.3   348.7   374.7   407.3   450.9   514.5   748.8  3373.7 14235.4  83172.2    83103
read      409.0   986.2    86.8   131.5   145.9   297.2   376.4   432.3   473.1   518.7   573.8   662.7  3063.1 13166.7 32202.1  18023.0    18032
read      317.8   408.4    80.4   132.8   147.4   262.7   330.3   371.1   402.2   441.1   492.2   586.6  1261.5  4059.1 15685.3  55765.6    55595
read      288.3   307.1    80.4   131.2   144.9   253.4   310.0   342.7   368.8   400.2   442.7   503.2   692.7  3198.7 10166.9  77069.0    77132
read      285.4   215.8    80.4   130.6   144.3   252.1   308.2   341.8   368.8   402.1   446.0   506.8   814.2  2432.6  7870.1  72926.8    72975
read      401.3   820.7    86.8   129.9   143.5   261.5   369.5   446.2   533.5   634.0   728.1   847.3  2044.1 10573.5 32303.0  33692.8    33629
read      294.5   375.8    80.4   130.6   144.3   253.4   309.9   343.3   369.9   402.8   446.5   508.4   920.8  4643.7 10286.0  73356.6    73334
read      278.9   210.2    80.4   129.9   143.3   247.4   304.5   337.1   362.0   392.3   431.8   492.3   671.8  2660.9  6457.1  92102.0    91953
read      287.2   279.4    80.4   129.8   143.2   250.5   306.1   338.6   364.6   397.5   441.4   504.9   896.1  3297.7  8987.6  73657.4    73736
read      405.0  1105.9    86.8   137.2   153.4   288.2   352.6   391.5   419.1   450.8   492.3   583.2  3058.8 11067.4 41031.1  11817.2    11694
read      450.9  1093.6    86.8   129.9   143.4   276.4   390.7   490.5   575.6   651.9   732.7   864.0  3350.0 15402.3 35752.3  28880.4    28936
read      298.0   334.2    80.4   131.9   145.8   254.9   314.2   349.8   378.4   413.9   458.9   528.1  1178.8  2971.3 10125.8  64068.0    64282
read      296.7   299.9    80.4   130.3   144.3   255.8   314.9   351.2   379.6   414.6   459.1   527.1  1047.7  3457.1  8125.0  60423.6    60223
read      273.7   195.9    74.4   126.8   139.3   235.6   298.7   339.4   369.1   401.1   436.9   487.0   711.9  2323.8  5619.5  39831.2    39992
read      273.4   259.1    80.4   126.8   139.8   240.1   293.8   328.7   356.5   390.6   431.6   485.2   669.8  2614.7  7559.2  53468.0    53314
read      425.8   963.1    86.8   133.3   148.1   301.7   393.6   456.1   502.5   558.5   627.1   732.5  3171.0  9458.7 37353.0  17245.4    17229
read      336.2   388.4    80.4   136.9   152.0   282.8   352.1   395.0   427.3   465.4   515.7   608.2  1379.0  4044.3 14229.6  52971.8    53013
read      298.1   232.0    80.4   135.2   149.6   264.5   325.9   363.0   390.8   424.6   467.3   535.7   727.9  2695.4  6792.2  92875.6    92725
read      298.5   404.5    86.8   134.7   148.1   263.9   334.2   369.7   393.5   419.9   451.1   497.3   687.9  4122.1 17054.9  24765.8    24895
read      295.7   216.0    86.8   133.7   147.8   265.0   326.4   361.5   388.0   420.1   461.6   524.0   739.6  2542.5  7137.4  74287.2    74576
read      302.5   357.6    80.4   133.4   147.6   265.1   324.9   361.4   389.2   423.8   466.7   530.4   848.1  3446.3 10858.0  56693.0    56699
read      290.9   254.2    80.4   132.7   147.0   256.6   318.3   355.2   382.2   413.9   454.3   514.2   689.5  2730.2  9697.7  97420.2    97600
read      309.5   243.8    86.8   135.1   149.8   273.5   338.7   376.3   404.7   440.4   485.7   554.7   877.3  2853.3  7490.5  71605.6    71534
read      302.1   221.6    86.8   135.4   150.2   271.3   333.7   370.4   398.7   434.2   478.7   542.4   731.7  2247.5  8055.6  53663.6    53645
